step,train_mb_loss,train_mb_mle,train_mb_smoothed_1.0,train_mb_backoff_0.25,dev_loss,dev_smoothed_1.0,dev_backoff_0.25,dev_unseen_c_loss,dev_unseen_c_smoothed_1.0,dev_unseen_c_backoff_0.25,time,batch_size,lr,num_iter
0,4.061946392059326,1.7170362023386787,1.7311740901972716,1.5945270348148954,5.807989120483398,2.6061801668856037,2.4800672832361443,3.547677755355835,2.687873155431058,2.5588229950016923,0:00:00.464993,32,0.1,1763
1,3.5885009765625,1.7830817608301264,1.79116850125109,1.657416140101506,4.933784008026123,2.6061801668856037,2.4800672832361443,3.55454158782959,2.687873155431058,2.5588229950016923,0:00:00.328004,32,0.1,1763
2,1.7692203521728516,1.3440511654299039,1.3545923497691224,1.2237296530428419,4.728919982910156,2.6061801668856037,2.4800672832361443,3.4925856590270996,2.687873155431058,2.5588229950016923,0:00:00.280997,32,0.1,1763
3,3.425589084625244,1.5830629189718444,1.5903671154558954,1.4455277086894465,4.978961944580078,2.6061801668856037,2.4800672832361443,3.107619047164917,2.687873155431058,2.5588229950016923,0:00:00.267000,32,0.1,1763
4,3.9866442680358887,1.3335206930430008,1.3434150409939554,1.2137242142203697,5.843545436859131,2.6061801668856037,2.4800672832361443,3.089350461959839,2.687873155431058,2.5588229950016923,0:00:00.247999,32,0.1,1763
5,3.9521656036376953,1.5920464149121212,1.6093442110932257,1.4582716505124036,7.173162937164307,2.6061801668856037,2.4800672832361443,3.8474433422088623,2.687873155431058,2.5588229950016923,0:00:00.249004,32,0.1,1763
6,3.23665452003479,1.2776797928863917,1.2939687350817917,1.1556211352311618,7.389297008514404,2.6061801668856037,2.4800672832361443,3.6886136531829834,2.687873155431058,2.5588229950016923,0:00:00.235996,32,0.1,1763
7,2.972261905670166,1.6661696498769676,1.673807735730837,1.5366582634053205,6.746519565582275,2.6061801668856037,2.4800672832361443,3.118520975112915,2.687873155431058,2.5588229950016923,0:00:00.285014,32,0.1,1763
8,4.854418754577637,1.7158694400298242,1.723457642973377,1.5946016475270872,5.479838848114014,2.6061801668856037,2.4800672832361443,3.0561683177948,2.687873155431058,2.5588229950016923,0:00:00.312989,32,0.1,1763
9,2.5854105949401855,1.2934312236117653,1.3080780002534356,1.1674568775833243,4.880805015563965,2.6061801668856037,2.4800672832361443,3.2658660411834717,2.687873155431058,2.5588229950016923,0:00:00.270002,32,0.1,1763
10,2.654223918914795,1.3117063377246703,1.3245185257100167,1.1822828581611904,4.858426094055176,2.6061801668856037,2.4800672832361443,3.257188320159912,2.687873155431058,2.5588229950016923,0:00:00.302000,32,0.1,1763
11,2.9439971446990967,1.3547784776819585,1.3737356019981035,1.2324389112741594,4.738239288330078,2.6061801668856037,2.4800672832361443,3.2062559127807617,2.687873155431058,2.5588229950016923,0:00:00.276000,32,0.1,1763
12,5.303354263305664,1.600231355610899,1.6123552027187176,1.4731466821773502,4.4911699295043945,2.6061801668856037,2.4800672832361443,3.137510061264038,2.687873155431058,2.5588229950016923,0:00:00.320998,32,0.1,1763
13,2.5710840225219727,1.4546491198542721,1.4682358159721927,1.3256951084337487,4.384521007537842,2.6061801668856037,2.4800672832361443,3.078623056411743,2.687873155431058,2.5588229950016923,0:00:00.307001,32,0.1,1763
14,3.3484277725219727,1.6686062042399017,1.6785151045454119,1.5420100326098307,4.336940765380859,2.6061801668856037,2.4800672832361443,3.059694528579712,2.687873155431058,2.5588229950016923,0:00:00.278001,32,0.1,1763
15,2.921602725982666,1.5695299382096652,1.5802800948355842,1.4410298063849476,3.982897996902466,2.6061801668856037,2.4800672832361443,3.097212076187134,2.687873155431058,2.5588229950016923,0:00:00.272997,32,0.1,1763
16,2.723656177520752,1.4530914163177027,1.4659969704260463,1.332526077461008,3.8041789531707764,2.6061801668856037,2.4800672832361443,3.1709647178649902,2.687873155431058,2.5588229950016923,0:00:00.293007,32,0.1,1763
17,3.498628616333008,1.53450751428049,1.5470073790476224,1.4032243713818313,3.757230758666992,2.6061801668856037,2.4800672832361443,3.1697607040405273,2.687873155431058,2.5588229950016923,0:00:00.305994,32,0.1,1763
18,3.1903717517852783,1.9483026681193873,1.9546532519147166,1.8165314655977014,3.7164306640625,2.6061801668856037,2.4800672832361443,2.966315746307373,2.687873155431058,2.5588229950016923,0:00:00.275001,32,0.1,1763
19,2.55979585647583,1.4756253996154272,1.48708715187634,1.3540607914720884,4.000007629394531,2.6061801668856037,2.4800672832361443,2.9433062076568604,2.687873155431058,2.5588229950016923,0:00:00.299001,32,0.1,1763
20,2.0426652431488037,1.8028187744323496,1.8191619730642001,1.6651148664539828,4.187446594238281,2.6061801668856037,2.4800672832361443,3.0163416862487793,2.687873155431058,2.5588229950016923,0:00:00.299997,32,0.1,1763
21,2.091080665588379,1.3302832137436373,1.3439910914101172,1.2022705990348508,4.4349236488342285,2.6061801668856037,2.4800672832361443,3.048234701156616,2.687873155431058,2.5588229950016923,0:00:00.241518,32,0.1,1763
22,1.457154393196106,1.0826635107972096,1.1020905503312597,0.9620120819435568,4.395025253295898,2.6061801668856037,2.4800672832361443,3.057101011276245,2.687873155431058,2.5588229950016923,0:00:00.268000,32,0.1,1763
23,2.5748226642608643,1.58893193768005,1.5997885404021792,1.4638865636272325,3.9104955196380615,2.6061801668856037,2.4800672832361443,3.0795247554779053,2.687873155431058,2.5588229950016923,0:00:00.306001,32,0.1,1763
24,1.7284752130508423,1.364391096353826,1.378155242444918,1.2388660544798655,3.5824954509735107,2.6061801668856037,2.4800672832361443,3.0779876708984375,2.687873155431058,2.5588229950016923,0:00:00.263999,32,0.1,1763
25,1.807758092880249,1.5028877422076887,1.5283898152746687,1.3759888173832873,3.4507265090942383,2.6061801668856037,2.4800672832361443,2.9806649684906006,2.687873155431058,2.5588229950016923,0:00:00.260001,32,0.1,1763
26,1.9908078908920288,1.4586499361651066,1.4847887991618285,1.3245688840581071,3.5878725051879883,2.6061801668856037,2.4800672832361443,3.0445189476013184,2.687873155431058,2.5588229950016923,0:00:00.365626,32,0.1,1763
27,2.5588107109069824,1.4523420574646948,1.4648886160656658,1.314953770661384,3.8941075801849365,2.6061801668856037,2.4800672832361443,3.2628180980682373,2.687873155431058,2.5588229950016923,0:00:00.351002,32,0.1,1763
28,1.8310893774032593,1.7124325757668644,1.727366099114285,1.594570572478443,4.119640827178955,2.6061801668856037,2.4800672832361443,3.317394495010376,2.687873155431058,2.5588229950016923,0:00:00.312999,32,0.1,1763
