	wb	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	nasal	voice	labial	coronal	anterior	distributed	lateral	dorsal	high	low	front	back
m	-	-	+	-	+	-	0	+	+	+	-	0	0	-	-	0	0	0	0
w	-	-	-	+	+	+	0	-	+	+	-	0	0	-	+	0	0	0	0
p	-	-	+	-	-	-	-	-	-	+	-	0	0	-	-	0	0	0	0
b	-	-	+	-	-	-	-	-	+	+	-	0	0	-	-	0	0	0	0
f	-	-	+	-	-	+	+	-	-	+	-	0	0	-	-	0	0	0	0
v	-	-	+	-	-	+	+	-	+	+	-	0	0	-	-	0	0	0	0
r	-	-	+	+	+	+	0	-	+	-	+	+	-	-	-	0	0	0	0
l	-	-	+	+	+	+	0	-	+	-	+	+	-	+	-	0	0	0	0
n	-	-	+	-	+	-	0	+	+	-	+	+	-	-	-	0	0	0	0
t	-	-	+	-	-	-	-	-	-	-	+	+	-	-	-	0	0	0	0
d	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	0	0	0	0
c	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	0	0	0	0
dz	-	-	+	-	-	-	+	-	+	-	+	+	-	-	-	0	0	0	0
s	-	-	+	-	-	+	+	-	-	-	+	+	-	-	-	0	0	0	0
z	-	-	+	-	-	+	+	-	+	-	+	+	-	-	-	0	0	0	0
cz	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	0	0	0	0
drz	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	0	0	0	0
sz	-	-	+	-	-	+	+	-	-	-	+	-	-	-	-	0	0	0	0
rz	-	-	+	-	-	+	+	-	+	-	+	-	-	-	-	0	0	0	0
ni	-	-	+	-	+	-	0	+	+	-	+	-	+	-	+	+	-	+	-
j	-	-	-	+	+	+	0	-	+	-	+	-	+	-	+	+	-	+	-
ci	-	-	+	-	-	-	+	-	-	-	+	-	+	-	+	+	-	+	-
dzi	-	-	+	-	-	-	+	-	+	-	+	-	+	-	+	+	-	+	-
si	-	-	+	-	-	+	+	-	-	-	+	-	+	-	+	+	-	+	-
zi	-	-	+	-	-	+	+	-	+	-	+	-	+	-	+	+	-	+	-
k	-	-	+	-	-	-	-	-	-	-	-	0	0	-	+	+	-	-	-
g	-	-	+	-	-	-	-	-	+	-	-	0	0	-	+	+	-	-	-
x	-	-	+	-	-	+	+	-	-	-	-	0	0	-	+	+	-	-	-
a	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	-	+	-	-
e	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	-	-	+	-
i	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	+	-	+	-
o	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	-	-	-	+
u	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	+	-	-	+
y	-	+	-	+	+	+	0	-	+	-	-	0	0	-	+	+	-	-	-
A	-	+	-	+	+	+	0	+	+	-	-	0	0	-	+	-	-	-	+
E	-	+	-	+	+	+	0	+	+	-	-	0	0	-	+	-	-	+	-
