m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
b o v i dz a	Real
b o v i r a	Real
g o m b e dz i k a	Real
k o n i k w a	Real
dh o m b i r a	Real
ch o m w i dz a	Real
ch o m w i r a	Real
d o r i k a	Real
d o r i n h a	Real
dz o i r a	Real
h o h u r a	Real
h o h w u r a	Real
h o i dz a	Real
h o k i dz a	Real
h o m u r a	Real
h o p u k a	Real
h o p u r a	Real
h o u r a	Real
k o i r a	Real
k o t s i dz a	Real
k o t s i r a	Real
bh o m u dz a	Real
bh o m u r a	Real
b o i r a	Real
b o v i k a	Real
g o vh u r a	Real
h o m u k a	Real
h o m u t s a	Real
k o k o r i dz a	Real
k o r i s a	Real
k o sh i w a	Real
d o k w a i r a	Real
h o t s i dz a	Real
k u w e r e r a	Real
d e y a t e y a	Real
k o b s u k a	Real
k o bv u dz a	Real
k o bv u m a dz a	Real
k o bv u m a r a	Real
k o m u k a	Real
k o m u r a	Real
k o m u s a	Real
k o m u t s a	Real
k a r a bh e t a	Real
bh u r e k a	Real
f e i r a	Real
f u r e z a	Real
k o m b u r e n a	Real
k o r e k i t a	Real
k u r o ch a	Real
f a n e r a	Real
k o r o f i k a	Real
k o r o k o t i dz a	Real
d i d i m u r a	Real
d e v e r a	Real
d e n d e f u dz a	Real
f u n u k a	Real
b w a d a	Real
k u sv u d a	Real
dh i n d i sh i dz a	Real
ch a ch a	Real
k u m b i dz i r a	Real
k e r u r a	Real
f o ch e dz a	Real
f o ch e r a	Real
f o m b w e r a	Real
ch u ch u t a	Real
ch i d i g i dz a	Real
ch i d i g i k a	Real
ch i d i g i r a	Real
ch i d i g u k a	Real
ch i d i g u r a	Real
ch i k a i r a	Real
ch i k i d i dz a	Real
ch i k i d i r a	Real
ch i k u k a	Real
ch i m h u k a	Real
ch i N g a	Real
ch i N g a m i dz a	Real
ch i N g i dz a	Real
ch i N g u dz a	Real
ch i N g u dz i r a	Real
ch i n u k a	Real
ch i n y a	Real
ch i n y a	Real
ch i u r i r a	Real
ch i v a	Real
ch i vh u r a	Real
ch i v i r i k a	Real
ch o b o r a	Real
ch o ch a	Real
ch o ch o n a	Real
ch o ch o n y a	Real
ch o d o g o dz a	Real
ch o t e k a	Real
ch o vh a	Real
ch o v o n j e r a	Real
ch u ch a	Real
ch u ch u dz a	Real
ch u ch u r u k a	Real
ch u m a i r a	Real
ch u m b w i dz a	Real
ch u m b w i r a	Real
ch u r i dz a	Real
ch u r i k a	Real
ch u r u k a	Real
ch u t i dz a	Real
ch u t i k a	Real
ch u vh a	Real
ch u vh u dz a	Real
ch u vh u k a	Real
k o ch o k o dz a	Real
k o ch o m o k a	Real
k o ch o n o dz a	Real
