word	score	*[+f10][+f10]	*[-word_boundary][+f24]	*[-word_boundary][-f11]	*[-f11][-word_boundary]	*[+f10][+f01]	*[-f01][-word_boundary]	*[+f02][+f10]	*[+f02][+f01]	*[-f06][-word_boundary]	*[-word_boundary][-f02]	*[+f18,+f20,+f21][+f08]	*[+f19,+f21,+f22,+f24,+f25][-f08]	*[+f03][-f04]	*[-f07][-f08]	*[-f22][-f04]	*[+f14,+f15,+f16]	*[+f18,+f20,+f21,+f22,+f24][+f04]	*[+f19,+f22,+f24,+f25][-f08]	*[-f25]	*[+f14,+f15]	*[-f23]	*[-f05]	*[+f18,+f19,+f20,+f21,+f22][+f04]	*[+f16,+f17]	*[-word_boundary][-f06]	*[+f22,+f24,+f25][-f08]	*[+f18,+f20][+f08]	*[+f18,+f19,+f20,+f21,+f24,+f25][-word_boundary]	*[-f21][+word_boundary]	*[+word_boundary][-f09]	*[-f08]	*[+f03][+f03]	*[-f13]	*[+f20,+f21,+f22][+f04]	*[+f18,+f20,+f21,+f23,+f24,+f25][-f04]	*[+f19,+f22,+f24][-f08]	*[+f19,+f21,+f23,+f24,+f25]	*[+f08]	*[-word_boundary][+f01]	*[-f24]	*[+f18,+f20,+f21,+f22,+f24,+f25][+f04]	*[+f18,+f20,+f22,+f24,+f25][-word_boundary]	*[+f19,+f21,+f24,+f25][-f04]	*[-word_boundary][+f09]	*[+f19,+f21,+f22,+f24][-f08]	*[+f18,+f19,+f21,+f23,+f24,+f25][-f04]	*[+f02][+f08]	*[+f19,+f20,+f21,+f22,+f25][+f04]	*[+f19,+f20,+f21,+f24,+f25][-f04]	*[+f07][-f04]	*[+f18,+f19,+f20,+f21,+f22,+f24][+f04]	*[+f18,+f19,+f20,+f21,+f22,+f25][+f04]	*[+f09]	*[+f18,+f19,+f20,+f21,+f24]	*[+f19,+f21,+f22,+f24]	*[-word_boundary][+f10]	*[-word_boundary][-f08]	*[-f07]	*[+f18,+f19,+f20,+f22,+f23,+f24]	*[+f10][-word_boundary]	*[+word_boundary][+f18,+f19,+f20,+f22]	*[+f19,+f21,+f22,+f23,+f24]	*[+f12][+f03]	*[+f12][+f04]	*[+f14,+f15,+f17]	*[-f17]	*[+f02][-word_boundary]	*[+f02][+f04]	*[+word_boundary][+f18,+f19,+f20,+f21,+f22]	*[+f18,+f19,+f21,+f22,+f24]	*[+word_boundary][+f04]	*[+word_boundary][+f18,+f20,+f21,+f22]	*[+f19,+f21,+f22,+f23,+f24,+f25]	*[-f11]	*[-word_boundary][+f06]	*[+f19,+f21,+f22,+f23,+f24,+f25][+word_boundary]	*[-f18]	*[+f18,+f21,+f22,+f23,+f24,+f25][-word_boundary]	*[-word_boundary][+f07]	*[+word_boundary][-f24]	*[-f09]	*[+f19,+f20,+f21,+f22,+f24,+f25][-word_boundary]	*[-word_boundary][-f09]	*[-word_boundary][-f07]	*[+f03][+f08]	*[-f20][+word_boundary]	*[+f18,+f19,+f21,+f22,+f24][-word_boundary]	*[-f02]	*[+word_boundary][-f04]	*[+f19,+f20,+f21,+f22,+f24,+f25]	*[+f07]	*[+f24,+f25]	*[+f18,+f23]	*[+f18,+f19,+f24]	*[+f18,+f20,+f21,+f23,+f24,+f25]	*[+f19,+f24]	*[+f24]	*[+f18,+f20,+f24]	*[-f06]	*[+f18,+f19,+f23]	*[+f18,+f19,+f20,+f22]	*[+f18,+f19,+f23,+f24,+f25]	*[+word_boundary][-f08]	*[+f15,+f16]	*[+f14]	*[+f10][+f08]	*[+word_boundary][+f08]	*[+f10][-f04]	*[+f03][-word_boundary]	*[+f18,+f19,+f20,+f21,+f22,+f23][-word_boundary]	*[-f19]	*[+f19,+f21,+f24,+f25][-word_boundary]	*[+f10][-f08]	*[-f02][+word_boundary]	*[+f18,+f19,+f21,+f23][+word_boundary]	*[+f19,+f20,+f22,+f24,+f25][+word_boundary]	*[+f02][+word_boundary]	*[-f04]	*[+f19,+f21,+f23][+word_boundary]	*[+f06][+word_boundary]	*[+f05]	*[+f18,+f20,+f22,+f23,+f24]	*[+f12]	*[+f10]	*[-f12]	*[+f06]	*[+f25]	*[+f22]	*[+f21,+f24]	*[+f20,+f21,+f22,+f23,+f24,+f25]	*[+word_boundary][+f10]	*[+f10][+word_boundary]	*[+word_boundary][-f12]	*[-f12][+word_boundary]	*[+word_boundary][-f06]	*[+f10][+f04]	*[+word_boundary][+f09]	*[+f18,+f19,+f20,+f21,+f22,+f23][+word_boundary]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	2.452	3.156	2.67	2.062	2.509	3.302	2.932	2.885	3.564	1.815	2.259	1.208	3.708	2.855	1.576	0.563	0.667	1.264	0.615	0.673	0.709	2.428	0.797	0.671	1.232	1.035	0.562	0.335	0.605	1.564	1.002	3.7	0.719	0.142	0.4	0.982	0.489	0.641	1.724	0.001	0.922	0	0	1.335	0.925	0.615	0.511	0.394	0.581	1.114	0.663	1.053	1.218	0.516	0.001	3.425	0.338	1.749	0.605	2.494	0.573	0.114	1.171	0.724	0.828	0.76	1.121	0.679	0.857	0.248	2.156	0.139	0.382	2.137	1.355	0.37	0.543	0.1	0.892	1.802	1.461	0.006	0.813	0.849	0.362	0.684	0	0	2.457	0.336	1.441	0.253	0.001	0.345	0.93	0.089	0.143	0.413	1.764	0.001	0	0.852	1.58	0.674	0.514	1.024	1.492	0.232	0	0	0.823	0.346	0	3.694	0.366	0.935	2.069	1.022	0.052	1.199	0.625	0.512	2.474	1.038	0.015	0	0	0	0.114	0.45	0	0	0.012	0	1.447	0.049	0.799	0.76	annotation
B L 	11.548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	
B L 	11.548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	
B R 	11.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	
B R 	11.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	
B W 	16.637	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	
B W 	16.637	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	
D G 	24.83	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	
D G 	24.83	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	
