word	score	*[+f02][-f01]	*[+f04][-word_boundary]	*[-word_boundary][-f02,+f12]	*[-word_boundary][+f08]	*[+f01][-word_boundary]	*[-word_boundary][+f07]	*[-word_boundary][-f05,+f12]	*[-f02][+f22]	*[-f13][+f20]	*[+f07][+f24]	*[+f14][+f24]	*[-f05][+f20]	*[-f09][+f22]	*[+f18]	*[+f26]	*[+f02,+f12][+f24]	*[+f09][+f24]	*[-f17]	*[-f05,+f12]	*[+f25]	*[+f16]	*[-f05][+f24]	*[+f19]	*[-word_boundary][-f02]	*[-f14][+word_boundary]	*[+f23]	*[+f08][+f24]	*[-f21]	*[+word_boundary][+f24]	*[+f12][+f24]	*[+f08][+f20]	*[-f05,+f12][-word_boundary]	*[+f17][-word_boundary]	*[-f02][+f20]	*[-f09]	*[+f20]	*[-f15]	*[-word_boundary][+f12]	*[+f15]	*[-word_boundary][+f05,+f11]	*[-f05]	*[+f10][-word_boundary]	*[+f05,+f11][-word_boundary]	*[-f02][+f01]	*[+f02][+f24]	*[+f02,+f12][+f20]	*[+f07][+f22]	*[+f14][+f20]	*[-f15][+f22]	*[-f17][+f24]	*[+f15][-word_boundary]	*[+f11][+f20]	*[-word_boundary][+f21]	*[+f10][+f22]	*[+word_boundary][+f20]	*[+f17][+f24]	*[+f15][+f20]	*[-word_boundary][+f20]	*[+f02][+f20]	*[-f14][-word_boundary]	*[+f15][+f22]	*[-f03]	*[+f21]	*[+f12][+f20]	*[-f17][+word_boundary]	*[+word_boundary][+f14]	*[-f15][+f20]	*[-f05,+f12][+word_boundary]	*[-f17][-word_boundary]	*[+f14][+word_boundary]	*[-word_boundary][-f01]	*[+f02,+f12][-word_boundary]	*[+f14][-word_boundary]	*[-word_boundary][+f24]	*[-f14]	*[+f09]	*[+f22]	*[+f12]	*[+f05,+f11]	*[-word_boundary][+f01]	*[-f02,+f12]	*[+f04]	*[+f02,+f12]	*[+f05,+f12]	*[-f02][+word_boundary]	*[+f01]	*[+f06]	*[+f24]	*[-f02,+f12][+word_boundary]	*[+word_boundary][+f01]	*[+f05,+f14]	*[+f12][+f01]	*[+f10][+word_boundary]	*[+f08][+word_boundary]	*[+f08]	*[+f14]	*[+word_boundary][+f02,+f12]	*[+f07]	*[+f10]	*[+f12][+word_boundary]	*[+f05][+word_boundary]	*[+f02,+f12][+word_boundary]	*[+f05,+f13]	*[+f17]	*[+word_boundary][+f06]	*[+f05,+f12][+word_boundary]	*[+f09][+word_boundary]	*[+f07][+word_boundary]	*[+f07][-word_boundary]	*[-f13][-word_boundary]	*[+word_boundary][+f05,+f12]	*[+word_boundary][-f21]	*[+f06][+word_boundary]	*[+word_boundary][+f05,+f14]	*[+word_boundary][+f13]	*[-f13]	*[+f03]	*[+f05,+f12][-word_boundary]	*[+f06][+f20]	*[+word_boundary][+f22]	*[-f13][+word_boundary]	*[+f07][+f20]	*[-f09][+word_boundary]	*[-f13][+f22]	*[+f05,+f14][+word_boundary]	*[-f15][+word_boundary]	*[+f15][+word_boundary]	*[+word_boundary][+f12]	*[-f15][-word_boundary]	*[+f05,+f13][+word_boundary]	*[+f05,+f13][+f22]	*[+f03][+word_boundary]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	4.36	4.051	2.322	2.473	6.758	3.52	1.389	4.933	2.41	3.195	1.512	2.787	2.614	3.309	1.97	2.068	0.843	1.407	1.151	0.818	0.614	0.061	0.15	0.168	1.016	0	0	1.209	1.391	0.38	1.767	1.25	0.922	0.584	0.653	0.833	1.139	1.839	1.121	1.851	2.767	0.492	0.324	3.319	1.148	0	0.199	0.643	0.694	0.931	1.119	1.664	0	1.611	1.274	0.695	0.121	0.342	0	0.374	0.289	1.198	1.523	0	1.436	0.771	0	0.684	0.755	0.049	3.111	0.134	0.544	0.56	0.606	0.792	0.401	0.002	0.002	0.056	0.406	2.361	0.001	0	0.578	0.833	0	1.167	0.796	1.994	0	0.779	0.767	0.667	0.483	0	0.114	1.476	0.475	0.293	0.32	0.281	0.083	0.169	0.621	0.381	0.683	1.003	1.257	1.01	0.352	1.324	0.133	1.009	2.218	0.661	0.001	0	0	0.897	0.435	0	0.535	1.516	0.149	1.001	0.785	0	0.921	0.768	1.896	2.268	annotation
B L 	7.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
B R 	6.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B W 	11.931	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
D G 	21.439	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
D N 	16.15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
D R 	7.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
D W 	9.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
F L 	6.856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
F N 	16.578	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
F R 	6.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
F W 	11.75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
G L 	7.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
G R 	6.715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
