word	score	*[+f02][-f01]	*[+f04][-word_boundary]	*[-word_boundary][-f02,+f11]	*[-word_boundary][+f06]	*[+f01][-word_boundary]	*[-word_boundary][+f08]	*[-f12][+f18]	*[-word_boundary][-f05,+f11]	*[+f08][+f22]	*[-f02][+f20]	*[-f05][+f18]	*[+f07,+f11][+f22]	*[-f05,+f11][+f22]	*[-f09][+f20]	*[+f16]	*[+f24]	*[+f02,+f11][+f22]	*[+f09][+f22]	*[-f15]	*[+f23]	*[-f05,+f11]	*[+f14]	*[-f05][+f22]	*[+f17]	*[+f21]	*[-word_boundary][-f02]	*[-f09][-word_boundary]	*[+f15][+f22]	*[+word_boundary][-f19]	*[+f06,+f11]	*[+word_boundary][+f22]	*[+f11][+f22]	*[+f10][+f18]	*[+f11][+f18]	*[+f09][-word_boundary]	*[-f13][+f20]	*[+f08][+f18]	*[+f07][+f22]	*[+f13][+f20]	*[-word_boundary][+f11]	*[+f06,+f11][+word_boundary]	*[-word_boundary][+f05,+f10]	*[-f09]	*[+word_boundary][+f18]	*[-f05,+f10]	*[+f08]	*[+f12][+f22]	*[+f02][+f22]	*[+f13][-word_boundary]	*[-f05,+f11][-word_boundary]	*[-f02][+f01]	*[+f05,+f10][+f20]	*[-f05]	*[+f18]	*[+f19]	*[-f03]	*[+f04]	*[+f02,+f11]	*[+f02,+f10]	*[+f10]	*[+f11]	*[-f02,+f10]	*[+f05,+f10]	*[+f12]	*[+f09]	*[-f19]	*[-f02]	*[+f05,+f12]	*[-f02,+f11]	*[+f20]	*[-word_boundary][-f01]	*[+f22]	*[-f01][+word_boundary]	*[+word_boundary][+f10]	*[-word_boundary][+f02]	*[-word_boundary][+f10]	*[+f10][+word_boundary]	*[-f02][+word_boundary]	*[+f02][+word_boundary]	*[-f12]	*[+f13]	*[-f13]	*[+f10][-word_boundary]	*[+word_boundary][+f02,+f10]	*[+f02,+f10][+word_boundary]	*[+f01]	*[+f03]	*[+word_boundary][-f02]	*[+word_boundary][+f04]	*[-f01]	*[-f02,+f11][+word_boundary]	*[+word_boundary][-f02,+f10]	*[+word_boundary][+f12]	*[+word_boundary][-f05]	*[+f07,+f11]	*[-f02][-word_boundary]	*[+f06][-word_boundary]	*[-word_boundary][-f05]	*[+f11][+word_boundary]	*[+f12][+word_boundary]	*[-f05][-word_boundary]	*[-f12][+word_boundary]	*[+word_boundary][+f02]	*[-word_boundary][+f05]	*[+f08][+word_boundary]	*[+f06]	*[+word_boundary][+f07]	*[+f08][-word_boundary]	*[-f05][+word_boundary]	*[+word_boundary][+f19]	*[-word_boundary][+f18]	*[-word_boundary][+f19]	*[+word_boundary][+f02,+f11]	*[+f05][+word_boundary]	*[+word_boundary][-f05,+f10]	*[-word_boundary][-f19]	*[+word_boundary][+f01]	*[+word_boundary][+f05,+f12]	*[-word_boundary][+f22]	*[+f11][+f20]	*[-f02][+f22]	*[+word_boundary][+f05,+f10]	*[+f06][+word_boundary]	*[+f06][+f18]	*[-f02][+f18]	*[+f02,+f11][+f18]	*[+f13][+word_boundary]	*[+f08][+f20]	*[-f09][+word_boundary]	*[-f13][+word_boundary]	*[+f09][+word_boundary]	*[-f13][-word_boundary]	*[+f05,+f12][+word_boundary]	*[+f05,+f10][-word_boundary]	*[+f03][+word_boundary]	*[-f05,+f10][+word_boundary]	*[-f05][+f20]	*[-f05,+f11][+word_boundary]	*[-f15][+word_boundary]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	4.552	3.271	2.074	2.293	3.528	2.507	3.389	1.871	3.194	4.261	2.633	1.631	0.881	2.844	3.306	1.971	1.717	1.92	1.17	0.819	1.35	0.615	0.641	0.151	0	1.979	0.94	0.707	1.28	0.979	1.468	1.003	1.951	0.657	0.717	0.635	0	0.618	0.104	1.045	0.729	1.182	1.036	1.26	0.269	1.82	0	1.088	1.223	1.269	3.217	1.912	0.777	1.394	0.728	1.515	1.529	0.392	0	0	0.024	0.856	0	0	0.533	0.971	0.489	0	0.475	1.846	1.829	1.637	1.179	0.308	0.693	0	0.165	0.949	1.073	0.727	1.343	1.32	0	0	0.32	3.192	0	0	0.941	0.094	1.213	0.951	0.888	0.873	0	0.383	1.064	0.746	1.469	0.408	0.838	0.755	0	0.789	1.34	0.864	1.932	1.323	0.782	0.514	0.977	1.057	1.421	1.134	1.394	0.534	3.329	0.336	1.012	0.955	0.178	0	0.642	0	0.464	1.049	0.963	0.014	0.939	1.22	0.659	0.942	0.55	0.123	2.69	0.701	0	0.924	1.5	annotation
B L 	11.366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B R 	10.959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B W 	15.927	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
D G 	24.211	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
D N 	19.556	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
D R 	11.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
D W 	13.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
F L 	11.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
F N 	20.625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
