word	score	*[+f02][+f01]	*[-f03][-word_boundary]	*[-word_boundary][+f14,+f15,+f17]	*[-word_boundary][+f04]	*[-f01][-word_boundary]	*[-word_boundary][+f03]	*[+f09,+f11,+f12,+f14,+f15][-f06]	*[+f10,+f12,+f13,+f14,+f17,+f18][-f08]	*[-f02][-f07]	*[-f13][+f08]	*[+f19,+f21,+f22,+f23]	*[+f09,+f11,+f12,+f13,+f14,+f15,+f17][+f07]	*[+f10,+f13,+f14,+f17][-f08]	*[-f18]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f15,+f18][+f07]	*[+f09,+f10,+f11,+f12,+f14,+f15,+f17,+f18][+f08]	*[+f21,+f22]	*[+f10,+f12,+f13,+f14,+f17][-f08]	*[+f19,+f22,+f23,+f24]	*[-f16]	*[-word_boundary][-f02]	*[-f02][+f06]	*[-f22]	*[+f09,+f11,+f12,+f14,+f15][+f07]	*[+f09,+f11,+f13,+f14,+f15,+f17][+f07]	*[-f12][+word_boundary]	*[-f05]	*[+word_boundary][-f08]	*[+f09,+f10,+f12,+f13,+f14,+f15,+f17,+f18]	*[+f09,+f10,+f12,+f14,+f15,+f16,+f17,+f18]	*[-f06]	*[-word_boundary][+f15,+f17]	*[+f11,+f14,+f15,+f17][-word_boundary]	*[-word_boundary][+f14,+f17]	*[-f17]	*[+f09,+f11,+f12,+f15,+f17][-word_boundary]	*[-f02][-f01]	*[+f09,+f11,+f12,+f13][+f07]	*[+f10,+f11,+f12,+f13,+f14,+f15,+f17][+word_boundary]	*[-f02][+f08]	*[+f11,+f12,+f13,+f14,+f15,+f17,+f18][+f07]	*[+f09,+f11,+f13,+f14][+f07]	*[+f09,+f10,+f13,+f14,+f15,+f17,+f18][+f06]	*[+f09,+f11,+f12,+f13,+f14,+f15][+f07]	*[+f10,+f13,+f14,+f17,+f18][-f08]	*[+f09,+f11,+f13,+f14,+f18][+f07]	*[-f04]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f17][+word_boundary]	*[+f11,+f12,+f13][+f07]	*[-f24]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f15,+f17]	*[+f13,+f14,+f15,+f17][+f06]	*[+f09,+f10,+f11,+f14,+f15,+f16,+f17,+f18]	*[+f09,+f10,+f12,+f14,+f15,+f17]	*[+f09,+f10,+f12,+f13,+f14,+f15,+f16]	*[+f09,+f10,+f12,+f13,+f14,+f15,+f17]	*[+f09,+f10,+f12,+f13,+f14,+f15,+f16,+f17]	*[+f19,+f21,+f22,+f24]	*[+f22,+f23]	*[+f12,+f14,+f15,+f17][-word_boundary]	*[-word_boundary][+f17]	*[+f11,+f12,+f15,+f17][-word_boundary]	*[-f20]	*[-f23]	*[+f12,+f15,+f17,+f18][-word_boundary]	*[+f11,+f12,+f15,+f17,+f18][-word_boundary]	*[+f20,+f21,+f22,+f23]	*[-word_boundary][+f01]	*[+f12,+f14,+f15,+f17,+f18][-word_boundary]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f15,+f16]	*[+f11,+f12,+f15,+f16,+f17][-word_boundary]	*[+f19,+f20,+f21,+f23]	*[-f11]	*[-word_boundary][+f05]	*[-f08]	*[-f13]	*[-f07]	*[+f09,+f12,+f13,+f15,+f16,+f17]	*[-word_boundary][+f14,+f15]	*[+f09,+f12,+f13,+f14,+f15,+f16,+f17,+f18]	*[+f13,+f15,+f16,+f17][+word_boundary]	*[+f03]	*[+f09,+f10,+f12,+f14,+f16,+f17,+f18]	*[+f09,+f10,+f11,+f13,+f14,+f16,+f17,+f18]	*[+f09,+f12,+f15,+f17,+f18]	*[-f21]	*[+f09,+f10,+f12,+f15,+f16,+f17,+f18]	*[+f09,+f10,+f11,+f12,+f15,+f18]	*[+f09,+f10,+f11,+f15][+word_boundary]	*[+f21,+f24]	*[+f09,+f10,+f11,+f12,+f14,+f15,+f16,+f18]	*[+f09,+f10,+f11,+f12,+f14][-word_boundary]	*[+word_boundary][+f09,+f10,+f11,+f12,+f13,+f15,+f16,+f18]	*[+f09,+f10,+f11,+f12,+f14,+f17][-word_boundary]	*[+f11,+f13,+f16,+f17,+f18][+word_boundary]	*[+f07]	*[+f09,+f10,+f12,+f14,+f15,+f16,+f17][+word_boundary]	*[-word_boundary][-f05]	*[+f03][+word_boundary]	*[+f10,+f11,+f12,+f14,+f15,+f18][+word_boundary]	*[+f19,+f24]	*[-word_boundary][-f08]	*[+f05]	*[+f21,+f22,+f23]	*[+f09,+f10,+f12,+f14,+f15,+f16,+f18]	*[+word_boundary][+f09,+f10,+f11,+f12,+f13,+f14,+f15,+f18]	*[-word_boundary][+f15]	*[+word_boundary][-f05]	*[-f14]	*[+f09,+f11,+f14,+f16,+f17,+f18][+word_boundary]	*[+f09,+f10,+f11,+f13,+f14,+f17,+f18][+f06]	*[+f10,+f12,+f13,+f14,+f15,+f16,+f17][+word_boundary]	*[+f09,+f11,+f12,+f13,+f15,+f16,+f17,+f18][+word_boundary]	*[+f10,+f11,+f13,+f14,+f16,+f17,+f18][+word_boundary]	*[+word_boundary][+f08]	*[+f09,+f10,+f12,+f14,+f15]	*[+f09,+f10,+f12,+f13,+f14,+f15,+f16,+f18]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f17,+f18][-word_boundary]	*[+f23,+f24]	*[+f19,+f21,+f22]	*[+word_boundary][+f09,+f11,+f12,+f13,+f14,+f15,+f18]	*[+f09,+f10,+f14,+f15,+f16,+f17,+f18][+word_boundary]	*[+f09,+f10,+f13,+f14,+f15,+f16,+f18][-word_boundary]	*[+word_boundary][+f09,+f10,+f11,+f12,+f13,+f15,+f17,+f18]	*[+word_boundary][-f04]	*[+f09,+f10,+f11,+f12,+f15,+f16,+f17,+f18][+f08]	*[+f09,+f10,+f11,+f12,+f13,+f14,+f16,+f18][+word_boundary]	*[-f13][+word_boundary]	*[+f09,+f11,+f12,+f13,+f14,+f15,+f16,+f17][+word_boundary]	*[+f10,+f11,+f13,+f15,+f16,+f17,+f18][+word_boundary]	*[-f02]	*[+f17,+f18]	*[+f10,+f12,+f13,+f14,+f16,+f17,+f18]	*[+f10,+f11,+f12,+f13,+f16,+f17,+f18]	*[+f06]	*[+f10,+f14,+f15]	*[+f13,+f14,+f15,+f18]	*[+f13,+f17]	*[+f02]	*[+f18]	*[-f03]	*[+f09,+f11,+f13,+f14,+f15,+f17]	*[-f01]	*[+f11,+f13,+f14,+f17]	*[+f08]	*[+f11,+f12,+f13,+f16,+f17]	*[-f15]	*[-f10]	*[+f10,+f13,+f15,+f16,+f17][+word_boundary]	*[+f09,+f10,+f13,+f14,+f15,+f17][-word_boundary]	*[-f02][+word_boundary]	*[+f09,+f10,+f11,+f12,+f13,+f15,+f17,+f18]	*[+f09,+f10,+f11,+f12,+f14,+f16,+f18]	*[-f09]	*[+word_boundary][-f02]	*[+f09,+f17,+f18]	*[+f14,+f15,+f17]	*[+f01][+word_boundary]	*[+f01]	*[-f02][-word_boundary]	*[+word_boundary][+f05]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	4.066	3.26	2.239	2.189	3.717	2.702	3.075	1.901	2.462	2.779	0.429	0.373	0.656	0.755	0.861	1.346	0.911	1.28	0.674	0.397	3.467	2.571	0.825	0	0.329	0.773	0.865	2.171	0.153	0.388	1.585	1.772	0.49	0.73	0.552	0	2.232	0	0.948	2.123	0.065	0.18	0.455	0.395	1.277	0.5	0.705	1.04	0	0.906	0.37	0.399	1.004	0.058	0.28	0.125	0.51	0.649	0.937	0	0.263	0.102	0.305	1.126	0	0.001	1.045	2.112	0	0.524	1.459	0.949	0.538	0.723	1.48	0.632	1.208	0.155	1.403	0.441	0.499	0.681	0.277	1.043	0	1.152	0.115	0.017	0.598	0.83	0.402	0.049	1.582	0.314	0.236	2.283	0.323	0.2	3.801	0.974	1.061	0.091	0.622	0.567	0.157	0.762	0.936	1.447	0.509	0.391	0	0.434	0.856	0.162	1.474	0.034	0.307	0	0.856	0.773	0.19	0.768	0.196	0.35	1.347	0	0.557	0.32	0.668	0.156	1.146	0.227	0.457	0.428	1.906	0.184	0.228	0.286	0.21	0.214	1.247	0.645	2.709	0.565	2.011	0.305	0.672	0.686	0.16	0	1.788	0.124	0.291	0.812	0	0.191	0.292	1.79	0.301	0.139	0.682	annotation
B L 	15.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	
B R 	14.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	
B W 	20.61	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	
D G 	31.432	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	2	2	2	0	2	0	2	0	1	0	1	1	0	0	0	0	0	0	2	2	1	2	0	0	
D N 	24.675	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	2	0	0	
D R 	15.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	
D W 	17.7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	
F L 	14.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	
