word	score	*[+syllabic]	*[+consonantal,+continuant,+voice,+distributed]	*[+nasal,+dorsal]	*[+voice][-approximant]	*[-coronal][-approximant]	*[+continuant,+voice][-word_boundary]	*[+sonorant][-word_boundary]	*[-coronal][-round,-coronal]	*[-word_boundary][+delayed_release]	*[+voice][-round,-coronal]	*[-word_boundary][-nasal,+voice,-round,-coronal]	*[-continuant][-approximant]	*[-consonantal][-round]	*[+labial][-coronal]	*[+voice,+coronal][+consonantal]	*[-word_boundary][-sonorant,+voice]	*[+distributed][-coronal]	*[+distributed][-approximant]	*[+distributed][+consonantal]	*[-strident][+consonantal]	*[+delayed_release,+voice][-word_boundary]	*[+continuant,-distributed][+continuant,-round,-lateral]	*[-continuant,+delayed_release][-word_boundary]	*[+voice][-coronal]	*[+continuant,+voice,+strident]	*[+anterior,+distributed]	*[+consonantal,+continuant,+voice,-anterior]	*[-coronal][+anterior,-lateral]	*[-word_boundary][+voice,-labial,+dorsal]	*[+strident][+continuant,-round,-lateral]	*[-anterior][-coronal]	*[+sonorant,-labial,+dorsal]	*[-continuant,+delayed_release,-voice]	*[+consonantal,+continuant,-anterior]	*[-continuant,-dorsal][-coronal]	*[-word_boundary][+voice,-round,-coronal]	*[+continuant,-coronal][-coronal]	*[+consonantal,+voice,+distributed]	*[+consonantal,+voice,+dorsal][+word_boundary]	*[+voice,+labiodental]	*[+continuant,-distributed][+voice,-labial,-lateral]	*[+continuant,-spread_glottis][-nasal,+voice,-coronal]	*[+sonorant,+anterior,-lateral]	*[+voice,-labial][+consonantal]	*[+word_boundary][+sonorant,+dorsal]	*[+continuant,-coronal][-round,-lateral]	*[-spread_glottis,-coronal][-coronal]	*[-labiodental,-coronal][+consonantal]	*[+continuant,-coronal][+consonantal]	*[+voice,-labial][-lateral]	*[+voice,+anterior,+distributed]	*[+continuant,-labiodental][+continuant,-round]	*[+voice,-coronal][-coronal]	*[+spread_glottis]	*[+continuant,-spread_glottis][-nasal,-coronal]	*[-labial,-dorsal][+consonantal,+voice]	*[+voice][-lateral]	*[-continuant,-voice,+anterior]	*[-continuant,-dorsal][+dorsal]	*[+voice,-dorsal][+consonantal]	*[+strident][-nasal,+voice,-round,-lateral]	*[+word_boundary][+consonantal,+continuant,+voice]	*[+continuant,-spread_glottis,-round,-coronal][+word_boundary]	*[+continuant,+anterior][+distributed]	*[+dorsal][-round,-lateral]	*[-strident][-coronal]	*[+continuant,+voice,+anterior,-lateral]	*[+distributed][+dorsal]	*[+voice,+coronal][-word_boundary]	*[-consonantal][-word_boundary]	*[+continuant,-voice,-strident][+word_boundary]	*[-word_boundary][-sonorant,-dorsal]	*[-continuant,+voice,+labial]	*[+voice,-dorsal][-lateral]	*[+voice,-coronal][+dorsal]	*[+voice,-dorsal][-round,-lateral]	*[+consonantal,+distributed]	*[+voice,+dorsal][-lateral]	*[-word_boundary][-labial,-coronal]	*[-anterior][-word_boundary]	*[-voice,-anterior]	*[+coronal][+consonantal,+continuant]	*[+continuant,-coronal][-lateral]	*[+continuant,-spread_glottis][+voice,-coronal]	*[-sonorant,+continuant,+voice,-labial]	*[+voice,-dorsal][-coronal]	*[+labial,-labiodental][-lateral]	*[-labial,-coronal][-round,-lateral]	*[-word_boundary][-approximant,+voice]	*[+continuant,-voice,-strident]	*[+voice,+labial][-lateral]	*[+continuant,-coronal][+anterior]	*[+anterior][+continuant,-round,-lateral]	*[-continuant,-dorsal][+consonantal]	*[+dorsal][-word_boundary]	*[+delayed_release,+voice,-labial]	*[+continuant,-spread_glottis,-coronal][-lateral]	*[-spread_glottis,-coronal][+dorsal]	*[-continuant,+coronal][-round]	*[+voice,+coronal][-round]	*[-continuant,-voice,+labial]	*[+continuant,-labiodental][+consonantal,+continuant]	*[+continuant,-labiodental][-nasal,+voice,-round,-lateral]	*[-delayed_release,+voice,+labial]	*[-word_boundary][-sonorant,-labial,-dorsal]	*[-voice,+labial]	*[+delayed_release,+voice]	*[+consonantal,-anterior]	*[+voice,+strident]	*[+consonantal,+continuant,+voice]	*[+continuant,-spread_glottis,-round,-coronal]	*[+sonorant,-round,-coronal]	*[+continuant,-spread_glottis,-coronal]	*[+strident]	*[+consonantal,+delayed_release,-voice]	*[-voice,+distributed]	*[+nasal,-labial]	*[+consonantal,+dorsal]	*[-sonorant,+voice,-labiodental]	*[+continuant,+coronal,-lateral]	*[+voice,-coronal]	*[+sonorant,-coronal]	*[+consonantal,+voice]	*[+sonorant,+dorsal]	*[+delayed_release]	*[-consonantal,-coronal]	*[+continuant,-coronal]	*[+voice,-round]	*[+continuant,+voice,-coronal]	*[+continuant,-round,-coronal]	*[+consonantal,+voice,-dorsal]	*[-consonantal,-labial,-coronal]	*[+consonantal,+continuant]	*[+anterior]	*[+voice,-labiodental,-coronal]	*[+voice,-round,-labiodental,-coronal]	*[+consonantal,+voice,-labiodental,-dorsal]	*[+sonorant,-labial]	*[-approximant,+voice,-labiodental]	*[-sonorant,-labial,-dorsal]	*[+labial,-labiodental]	*[+consonantal,-nasal,-dorsal]	*[-strident]	*[-sonorant,+continuant]	*[+consonantal,-sonorant,-dorsal]	*[+labial]	*[-labiodental,-coronal]	*[+continuant,-spread_glottis,-round]	*[-spread_glottis,-coronal]	*[-spread_glottis,-dorsal]	*[-voice]	*[+voice]	*[+voice,-labiodental]	*[+consonantal,-labiodental,-dorsal]	*[+voice,-labiodental,-lateral]	*[+consonantal,-nasal,-labiodental,-dorsal]	*[-nasal,-spread_glottis,-round,-labiodental,-coronal]	*[+continuant]	*[+voice,-round,-labiodental]	*[+consonantal,-dorsal]	*[-front]	*[+sonorant,-round]	*[-approximant,-dorsal]	*[+consonantal,-approximant,-dorsal]	*[+consonantal,+delayed_release]	*[-voice,-dorsal]	*[+dorsal]	*[-dorsal]	*[+voice,-labial]	*[-lateral,-dorsal]	*[+sonorant]	*[-spread_glottis,-lateral,-dorsal]	*[+continuant,-round]	*[-coronal]	*[-sonorant,-dorsal]	*[-labial]	*[+continuant,-spread_glottis]	*[-round,-coronal]	*[-spread_glottis,-round,-coronal]	*[+continuant,+voice]	*[+voice,-lateral]	*[-spread_glottis,-labial]	*[-nasal,+voice]	*[+voice,-round,-lateral]	*[-nasal,+voice,-labiodental]	*[+continuant,-lateral]	*[+sonorant,-lateral]	*[-nasal,-coronal]	*[+consonantal]	*[-approximant,-labiodental,-dorsal]	*[+consonantal,+coronal]	*[-nasal,+voice,-lateral]	*[-labiodental,-dorsal]	*[+consonantal,-approximant,-labiodental,-dorsal]	*[+continuant,-spread_glottis,-lateral]	*[-approximant,-labial,-dorsal]	*[+continuant,+voice,-labiodental]	*[+voice,-round,-coronal]	*[+consonantal,+voice,-labiodental]	*[+continuant,-dorsal]	*[+voice,-labiodental,-dorsal]	*[-nasal,-spread_glottis,-coronal]	*[-round,-labiodental,-coronal]	*[+continuant,-spread_glottis,-dorsal]	*[-nasal,+voice,-labial]	*[-nasal,+labial]	*[-approximant,-coronal]	*[+voice,+dorsal]	*[+voice,+labial]	*[+voice,+labial,-labiodental]	*[-nasal,-round,-coronal]	*[+consonantal,-nasal,+coronal]	*[-consonantal]	*[+sonorant,-round,-lateral]	*[+approximant]	*[+consonantal,+voice,-labial]	*[+consonantal,-sonorant,+continuant]	*[+consonantal,-coronal]	*[-approximant,+coronal]	*[+delayed_release,-labial]	*[-continuant,-dorsal]	*[+continuant,+labial]	*[-labial,-coronal]	*[+anterior,-strident]	*[+delayed_release,+coronal]	*[+consonantal,-voice]	*[-approximant,+voice]	*[+voice,-dorsal]	*[-approximant,+voice,-dorsal]	*[+continuant,-labiodental]	*[-approximant,+voice,-labiodental,-dorsal]	*[+voice,+anterior]	*[+continuant,+voice,-labiodental,-lateral]	*[-approximant,-labiodental,-coronal]	*[+consonantal,-nasal,+voice,-labial]	*[+consonantal,+voice,+coronal]	*[+consonantal,-voice,-dorsal]	*[-coronal,-dorsal]	*[+delayed_release,-voice]	*[-nasal,+voice,+labial]	*[+sonorant,+labial]	*[+continuant,+voice,-labial]	*[-consonantal,-labial]	*[-continuant,+voice]	*[-nasal,+anterior,-strident]	*[-spread_glottis,-labiodental,-coronal]	*[+continuant,-round,-lateral]	*[+distributed]	*[-approximant,+voice,+coronal]	*[+continuant,+voice,-round,-coronal]	*[+continuant,+anterior]	*[-voice,-labial,-dorsal]	*[+consonantal,-nasal,+voice,+coronal]	*[+continuant,+voice,+labial]	*[+consonantal,+labial]	*[+voice,+anterior,-strident]	*[-nasal,-spread_glottis,-round,-coronal]	*[-continuant,+voice,-dorsal]	*[-sonorant,-coronal,-dorsal]	*[-continuant,+coronal]	*[+consonantal,+voice,-coronal]	*[-nasal,+voice,+labial,-labiodental]	*[+continuant,-lateral,-dorsal]	*[-nasal,+voice,+anterior]	*[-nasal,-labiodental,-coronal]	*[+voice,-lateral,-dorsal]	*[-sonorant,-coronal]	*[+consonantal,+continuant,-labial]	*[+voice,-labiodental,-lateral,-dorsal]	*[-nasal,-spread_glottis,-labiodental,-coronal]	*[+continuant,-voice]	*[-distributed,-strident]	*[-voice,+coronal]	*[+voice,-round,-labiodental,-lateral]	*[+sonorant,-dorsal]	*[+consonantal,-sonorant,-coronal]	*[+delayed_release,-voice,-labial]	*[+continuant,+voice,+anterior]	*[-labiodental,-coronal,-dorsal]	*[-continuant,+voice,-coronal]	*[+continuant,-labiodental,-lateral]	*[-nasal,+voice,-coronal]	*[-nasal,+voice,-labiodental,-coronal]	*[-spread_glottis,-round,-labiodental,-coronal]	*[-anterior]	*[+continuant,-spread_glottis,-round,-lateral]	*[-nasal,-lateral]	*[-nasal,-labiodental]	*[-nasal,-spread_glottis,-labiodental]	*[-nasal,-labial]	*[-consonantal,+sonorant]	*[-labial,+dorsal]	*[-sonorant,+labial]	*[-voice,-coronal]	*[+consonantal,-approximant]	*[+continuant,+voice,-lateral]	*[-nasal,+labial,-labiodental]	*[-continuant,-coronal]	*[+consonantal,+sonorant]	*[+continuant,-spread_glottis,-labiodental]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	4.579	0.757	1.407	0.989	1.208	1.211	2.388	1.153	1.352	0.985	0.988	1.389	1.148	1.053	0.996	1.069	0.96	1.14	1.229	1.491	1.173	1.193	1.096	0.839	0.576	0	1.027	1.032	0.992	0.952	1.007	0.337	1.116	0.273	1.324	1.105	0.965	1.024	1.809	1.149	0.949	0.821	0.793	0.958	0.909	0.99	0.925	1.519	1.073	0.003	0.747	0.325	0.96	1.162	1.618	0.898	0	1.607	1.305	0.315	0.949	0.249	0.16	1.008	0.754	1.213	0.296	0.95	0.541	1.119	0.551	1.212	0.253	0.184	0.96	0.304	0	0.446	1.273	0.963	0.362	0.958	0.966	0.935	0.306	0.864	1.697	0.872	1.019	0.219	0.637	1.062	0.601	0.962	1.267	0.574	0.877	0.912	1.272	0.662	0.692	0.725	0.652	0.29	0.508	0.748	0.737	0.672	0.844	0.527	0.103	0.268	0.505	1.067	0.498	0.029	1.182	2.102	0	0.368	0	0.671	0.232	0.74	0.427	0.462	0.682	0.035	0.449	0.28	0.011	0.06	0	0.885	0	0	0	0.874	0.005	0.884	0.363	0.126	1.195	0.028	0.06	0.583	0.555	0.001	0.598	0.439	1.876	0.175	0.011	0	0.005	0.094	0	0.123	0.002	0	1.449	0.837	0	0	0.25	1.005	1.435	0.616	0.34	0.559	1.24	0.382	0.014	0.775	0.116	1.468	0.007	0.372	0.195	0.564	0.118	1.291	0.313	0	0.014	0.065	1.183	0.39	0.852	0	0.539	0.168	0.397	0	0	0.659	0.4	0	0.007	0.79	0.433	0.213	0.153	0.613	0.143	0.62	1.475	0.563	0.82	0.656	0	0.764	1.199	0.78	1.079	0.706	0	1.298	0.482	0.207	0.811	1.607	1.177	0.49	0.03	1.699	0.081	0.597	0	0.005	0	0.183	0.343	1.255	0.509	0.46	0.827	0.358	0.675	0.856	1.351	0.006	0.797	0.596	0.715	0.378	0	0.373	0.403	0.046	0.433	1.241	0.685	1.551	0.181	0.634	0	0.35	0.394	1.836	0.662	0.692	0.733	0.408	0.17	0.54	1.089	0	0.376	0	0.544	1.494	1.064	0	1.485	0.912	0.619	0.353	0.138	0.499	0	0	0	0	1.376	0	0.848	0.686	0.509	1.271	1.022	1.032	0.217	1.797	0.795	0.507	0.4	1.078	1.203	0	annotation
B L 	63.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	2	0	1	1	1	1	2	1	1	0	1	2	1	0	1	1	1	1	1	2	0	2	2	2	1	2	1	1	2	2	0	1	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	0	0	1	2	1	1	1	2	1	0	0	1	1	2	1	2	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	2	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	2	2	1	0	0	1	0	1	0	1	1	1	1	
B L 	63.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	2	0	1	1	1	1	2	1	1	0	1	2	1	0	1	1	1	1	1	2	0	2	2	2	1	2	1	1	2	2	0	1	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	0	0	1	2	1	1	1	2	1	0	0	1	1	2	1	2	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	2	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	2	2	1	0	0	1	0	1	0	1	1	1	1	
B R 	62.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	2	0	2	2	1	2	1	1	1	2	1	0	1	1	1	0	0	0	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	0	2	2	1	1	0	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	2	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	2	1	0	2	1	0	0	0	2	1	1	0	0	1	1	1	1	1	1	1	1	2	2	2	1	1	0	1	0	1	1	1	1	0	1	
B R 	62.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	2	0	2	2	1	2	1	1	1	2	1	0	1	1	1	0	0	0	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	0	2	2	1	1	0	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	2	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	2	1	0	2	1	0	0	0	2	1	1	0	0	1	1	1	1	1	1	1	1	2	2	2	1	1	0	1	0	1	1	1	1	0	1	
B W 	72.022	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	1	0	1	1	1	1	0	1	0	0	0	2	1	1	0	1	0	2	1	0	0	1	2	2	0	2	1	0	2	2	1	2	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	2	1	0	1	1	1	1	2	0	2	1	2	1	1	2	1	1	0	2	1	1	1	0	1	1	1	0	1	2	1	0	0	2	1	1	2	2	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	2	0	0	2	1	1	0	1	2	0	0	0	1	0	1	0	0	1	1	1	2	2	1	0	0	2	2	2	0	1	0	1	0	1	1	2	1	0	1	
B W 	72.022	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	1	0	1	1	1	1	0	1	0	0	0	2	1	1	0	1	0	2	1	0	0	1	2	2	0	2	1	0	2	2	1	2	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	2	1	0	1	1	1	1	2	0	2	1	2	1	1	2	1	1	0	2	1	1	1	0	1	1	1	0	1	2	1	0	0	2	1	1	2	2	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	2	0	0	2	1	1	0	1	2	0	0	0	1	0	1	0	0	1	1	1	2	2	1	0	0	2	2	2	0	1	0	1	0	1	1	2	1	0	1	
D G 	85.105	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1	1	1	1	0	2	1	0	1	1	0	1	0	1	0	1	1	0	2	2	1	2	1	1	0	2	1	0	0	1	1	0	0	1	1	2	1	0	1	0	1	1	2	0	1	1	0	2	2	2	2	2	0	0	1	2	1	1	2	1	1	0	1	0	1	2	0	1	1	1	0	2	0	1	1	0	0	1	1	0	0	0	2	0	1	1	0	1	0	1	1	0	0	2	1	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	2	0	1	0	0	0	1	0	1	1	1	0	0	2	2	2	2	0	1	0	0	2	0	0	1	0	0	
D G 	85.105	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1	1	1	1	0	2	1	0	1	1	0	1	0	1	0	1	1	0	2	2	1	2	1	1	0	2	1	0	0	1	1	0	0	1	1	2	1	0	1	0	1	1	2	0	1	1	0	2	2	2	2	2	0	0	1	2	1	1	2	1	1	0	1	0	1	2	0	1	1	1	0	2	0	1	1	0	0	1	1	0	0	0	2	0	1	1	0	1	0	1	1	0	0	2	1	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	2	0	1	0	0	0	1	0	1	1	1	0	0	2	2	2	2	0	1	0	0	2	0	0	1	0	0	
