	f01	f02	f03	f04	f05	f06	f07	f08	f09	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25
HH	+	-	0	+	+	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	+	+	+	+	+
SH	+	-	0	+	+	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	+	+	+	+	+
DH	+	-	0	+	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	+	+	+
JH	+	-	0	+	-	0	0	0	0	0	+	+	+	-	+	+	+	+	+	+	0	0	0	0	0
CH	+	-	0	+	-	0	0	0	0	0	+	-	+	+	+	+	+	+	+	+	0	0	0	0	0
TH	+	-	0	+	+	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	+	+	+	-
Y	+	-	0	+	-	0	0	0	0	0	+	+	+	+	+	+	+	+	-	+	0	0	0	0	0
T	+	-	0	+	+	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	+	+	+	-	+
P	+	-	0	+	-	0	0	0	0	0	+	+	+	+	+	+	-	+	+	+	0	0	0	0	0
K	+	-	0	+	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	+	+
D	+	-	0	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	+	+	+
F	+	-	0	+	-	0	0	0	0	0	+	+	-	+	+	+	+	+	+	+	0	0	0	0	0
Z	+	-	0	+	-	0	0	0	0	0	+	+	+	+	+	+	+	+	+	-	0	0	0	0	0
V	+	-	0	+	-	0	0	0	0	0	+	+	+	+	+	+	+	-	+	+	0	0	0	0	0
R	-	0	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	+	-	0	+	-	0	0	0	0	0	+	+	+	+	-	+	+	+	+	+	0	0	0	0	0
S	+	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L	-	0	+	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	+	-	0	+	-	0	0	0	0	0	-	+	+	+	+	+	+	+	+	+	0	0	0	0	0
G	+	-	0	+	+	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	+	+	+	+	+
W	-	0	-	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	+	-	0	+	-	0	0	0	0	0	+	+	+	+	+	-	+	+	+	+	0	0	0	0	0
