,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DH,+,-,-,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,+,-,-,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JH,+,-,-,+,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0
SH,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0
HH,+,+,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0
M,+,-,-,-,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0
T,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0
Z,+,-,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
D,+,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,+,-,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0
N,+,-,-,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
B,+,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,+,-,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0
R,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0
F,+,+,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,+,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0
W,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0
G,+,+,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,+,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
L,-,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0
