onset,attestedness,rating
B L,attested,3.575
B R,attested,3.75
B W,marginal,2.475
D G,unattested,1.435526316
D N,unattested,1.6157894735
D R,attested,3.75
D W,marginal,2.55
F L,attested,4.1
F N,unattested,1.7
F R,attested,4.525
F W,marginal,2.4
G L,attested,3.7249999999999996
G R,attested,4.5
G W,marginal,2.675
K L,attested,4
K M,unattested,1.5750000000000002
K R,attested,3.775
K W,attested,3
L M,unattested,1.4
L N,unattested,1.45
L T,unattested,1.475
M L,unattested,1.65
M R,unattested,1.85
N L,unattested,1.6
P K,unattested,1.6
P L,attested,4.1
P R,attested,3.95
P W,unattested,2.2249999999999996
R D,unattested,1.325
R G,unattested,1.525
R L,unattested,1.625
R N,unattested,1.575
S M,attested,3.925
S N,attested,3.975
S W,attested,3.2
SH L,marginal,3.125
SH M,marginal,2.675
SH N,marginal,2.5947368419999997
SH R,attested,4.025
SH W,marginal,2.95
T L,unattested,1.7960526315
T R,attested,4.525
T W,marginal,3.45
TH W,attested,2.425
V L,marginal,3
V R,marginal,2.5
V W,unattested,1.625
Z R,unattested,2.075
