onset,attestedness,likert_rating,smoothed_bigram,hayes_phonetic_features,hayes_learned_features,bl_continuous_pmi,bl_discrete_binary_phonetic,bl_discrete_binary_learned,max_rcc_cov,max_rcc_kld,max_sc_cov,max_sc_kld
B L,attested,3.8,-5.015845343,63.323,11.307,5.107943535,5.894834995,5.167712212,-11.501,-11.145,-9.896,-11.439
B L,attested,3.35,-5.015845343,63.323,11.307,5.107943535,5.894834995,5.167712212,-11.501,-11.145,-9.896,-11.439
B R,attested,3.6,-4.608661623,62.783,10.912,4.140832901,4.677989006,4.710061073,-10.619,-9.948,-8.747,-10.613
B R,attested,3.9,-4.608661623,62.783,10.912,4.140832901,4.677989006,4.710061073,-10.619,-9.948,-8.747,-10.613
B W,marginal,2.25,-10.38904219,72.022,15.918,7.894009113,11.24900818,7.910104752,-13.668,-12.279,-11.127,-13.421
B W,marginal,2.7,-10.38904219,72.022,15.918,7.894009113,11.24900818,7.910104752,-13.668,-12.279,-11.127,-13.421
D G,unattested,1.421052632,-11.02325334,85.105,25.346,15.37360001,15.24477768,17.34863853,-20.447,-19.355,-15.948,-19.536
D G,unattested,1.45,-11.02325334,85.105,25.346,15.37360001,15.24477768,17.34863853,-20.447,-19.355,-15.948,-19.536
D N,unattested,1.631578947,-10.3971753,72.852,24.843,12.18037415,11.27616501,11.99872875,-19.386,-20.171,-15.948,-18.353
D N,unattested,1.6,-10.3971753,72.852,24.843,12.18037415,11.27616501,11.99872875,-19.386,-20.171,-15.948,-18.353
D R,attested,3.15,-5.017813614,63.086,11.274,4.948677063,5.005944252,5.144311905,-13.99,-13.401,-12.072,-13.679
D R,attested,4.35,-5.017813614,63.086,11.274,4.948677063,5.005944252,5.144311905,-13.99,-13.401,-12.072,-13.679
D W,marginal,2.8,-7.4960877,66.192,13.985,6.638364792,8.824952126,6.979330063,-15.686,-15.37,-12.785,-15.527
D W,marginal,2.3,-7.4960877,66.192,13.985,6.638364792,8.824952126,6.979330063,-15.686,-15.37,-12.785,-15.527
F L,attested,3.95,-4.710335206,62.78,10.999,5.107943535,4.865744114,4.960429192,-11.501,-11.145,-9.896,-11.439
F L,attested,4.25,-4.710335206,62.78,10.999,5.107943535,4.865744114,4.960429192,-11.501,-11.145,-9.896,-11.439
F N,unattested,1.7,-10.40159514,69.655,19.592,11.45423698,8.999032021,10.74533176,-16.994,-16.809,-15.641,-16.059
F N,unattested,1.7,-10.40159514,69.655,19.592,11.45423698,8.999032021,10.74533176,-16.994,-16.809,-15.641,-16.059
F R,attested,4.35,-4.837556189,62.911,11.14,4.140832901,5.237594605,4.805639267,-10.619,-9.948,-8.747,-10.613
F R,attested,4.7,-4.837556189,62.911,11.14,4.140832901,5.237594605,4.805639267,-10.619,-9.948,-8.747,-10.613
F W,marginal,2.55,-10.3908793,69.55,16.147,7.894009113,10.48118496,7.888572693,-13.668,-12.279,-11.127,-13.421
F W,marginal,2.25,-10.3908793,69.55,16.147,7.894009113,10.48118496,7.888572693,-13.668,-12.279,-11.127,-13.421
G L,attested,3.9,-5.51001019,63.581,11.864,5.801240921,5.992741585,5.900064945,-11.501,-11.145,-9.896,-11.439
G L,attested,3.55,-5.51001019,63.581,11.864,5.801240921,5.992741585,5.900064945,-11.501,-11.145,-9.896,-11.439
G R,attested,4.85,-4.582838404,62.613,10.845,4.27148819,5.243471146,4.593338013,-10.619,-9.948,-8.747,-10.613
G R,attested,4.15,-4.582838404,62.613,10.845,4.27148819,5.243471146,4.593338013,-10.619,-9.948,-8.747,-10.613
G W,marginal,2.85,-7.915126293,65.983,14.199,6.67467308,8.030514717,6.922463417,-13.668,-12.279,-11.127,-13.421
G W,marginal,2.5,-7.915126293,65.983,14.199,6.67467308,8.030514717,6.922463417,-13.668,-12.279,-11.127,-13.421
K L,attested,3.95,-4.831599413,62.813,11.113,5.455226898,4.683107853,4.931725502,-10.72,-11.145,-9.896,-10.542
K L,attested,4.05,-4.831599413,62.813,11.113,5.455226898,4.683107853,4.931725502,-10.72,-11.145,-9.896,-10.542
K M,unattested,1.3,-10.49341733,71.042,20.012,11.72540188,10.36096573,10.9075098,-16.96,-17.321,-14.491,-15.899
K M,unattested,1.85,-10.49341733,71.042,20.012,11.72540188,10.36096573,10.9075098,-16.96,-17.321,-14.491,-15.899
K R,attested,4.25,-4.310375619,62.353,10.595,3.211253882,4.093860626,3.686608315,-9.833,-9.948,-8.747,-9.449
K R,attested,3.3,-4.310375619,62.353,10.595,3.211253882,4.093860626,3.686608315,-9.833,-9.948,-8.747,-9.449
K W,attested,3.5,-4.896183638,62.964,11.14,5.457809448,5.544465065,4.94502449,-11.466,-12.279,-11.127,-11.266
K W,attested,2.5,-4.896183638,62.964,11.14,5.457809448,5.544465065,4.94502449,-11.466,-12.279,-11.127,-11.266
L M,unattested,1.5,-11.1429128,78.519,25.388,14.36101151,10.96343613,10.00974655,-21.01,-20.152,-15.58,-19.922
L M,unattested,1.3,-11.1429128,78.519,25.388,14.36101151,10.96343613,10.00974655,-21.01,-20.152,-15.58,-19.922
L N,unattested,1.45,-11.15851376,74.507,25.083,14.36101151,11.70592594,10.30976486,-20.688,-19.978,-16.676,-19.307
L N,unattested,1.45,-11.15851376,74.507,25.083,14.36101151,11.70592594,10.30976486,-20.688,-19.978,-16.676,-19.307
L T,unattested,1.55,-11.51382938,72.878,24.264,13.3350668,11.24721813,10.20163918,-18.879,-17.817,-16.676,-18.544
L T,unattested,1.4,-11.51382938,72.878,24.264,13.3350668,11.24721813,10.20163918,-18.879,-17.817,-16.676,-18.544
M L,unattested,1.5,-10.42283245,65.554,18.482,9.57973671,10.51167107,8.509874344,-15.553,-15.172,-12.054,-14.921
M L,unattested,1.8,-10.42283245,65.554,18.482,9.57973671,10.51167107,8.509874344,-15.553,-15.172,-12.054,-14.921
M R,unattested,2,-10.41799371,65.013,17.565,7.73184967,9.766874313,7.863236904,-13.99,-13.401,-12.072,-13.679
M R,unattested,1.7,-10.41799371,65.013,17.565,7.73184967,9.766874313,7.863236904,-13.99,-13.401,-12.072,-13.679
N L,unattested,1.85,-10.53908966,72.791,19.49,9.57973671,12.76679039,8.580346108,-16.084,-14.503,-9.896,-14.899
N L,unattested,1.35,-10.53908966,72.791,19.49,9.57973671,12.76679039,8.580346108,-16.084,-14.503,-9.896,-14.899
P K,unattested,1.65,-10.78393711,74.559,17.828,12.7886467,13.31721687,10.41561794,-16.861,-16.257,-15.641,-17.45
P K,unattested,1.55,-10.78393711,74.559,17.828,12.7886467,13.31721687,10.41561794,-16.861,-16.257,-15.641,-17.45
P L,attested,3.85,-4.910403024,62.86,11.188,4.772637844,4.578350067,4.836395264,-10.98,-11.145,-9.896,-11.417
P L,attested,4.35,-4.910403024,62.86,11.188,4.772637844,4.578350067,4.836395264,-10.98,-11.145,-9.896,-11.417
P R,attested,3.65,-3.487814971,61.509,9.772,3.091307163,3.521526814,3.684819222,-9.388,-9.948,-8.747,-9.426
P R,attested,4.25,-3.487814971,61.509,9.772,3.091307163,3.521526814,3.684819222,-9.388,-9.948,-8.747,-9.426
P W,unattested,2.3,-10.50112016,67.428,14.779,6.68785429,8.756106377,6.662801743,-12.852,-12.279,-11.127,-13.166
P W,unattested,2.15,-10.50112016,67.428,14.779,6.68785429,8.756106377,6.662801743,-12.852,-12.279,-11.127,-13.166
R D,unattested,1.15,-11.28163428,80.516,28.552,14.51170158,19.09700394,11.51737499,-18.749,-19.075,-17.054,-18.974
R D,unattested,1.5,-11.28163428,80.516,28.552,14.51170158,19.09700394,11.51737499,-18.749,-19.075,-17.054,-18.974
R G,unattested,1.6,-11.83965981,94.909,30.086,16.43033409,19.72680855,14.71769524,-18.013,-18.373,-16.984,-17.957
R G,unattested,1.45,-11.83965981,94.909,30.086,16.43033409,19.72680855,14.71769524,-18.013,-18.373,-16.984,-17.957
R L,unattested,1.8,-11.19564509,75.927,16.412,15.9600029,16.14942551,9.766950607,-15.665,-15.969,-13.691,-15.145
R L,unattested,1.45,-11.19564509,75.927,16.412,15.9600029,16.14942551,9.766950607,-15.665,-15.969,-13.691,-15.145
R N,unattested,1.65,-11.21358176,78.34,25.006,14.15081787,17.61993027,10.10745239,-18.193,-19.242,-16.984,-17.86
R N,unattested,1.5,-11.21358176,78.34,25.006,14.15081787,17.61993027,10.10745239,-18.193,-19.242,-16.984,-17.86
SH L,marginal,3.1,-10.42234003,67.082,18.173,6.962526321,8.951583862,7.340192318,-15.488,-14.519,-10.632,-15.071
SH L,marginal,3.15,-10.42234003,67.082,18.173,6.962526321,8.951583862,7.340192318,-15.488,-14.519,-10.632,-15.071
SH M,marginal,2.7,-10.42467574,71.042,26.242,11.41436958,10.20780373,10.09324169,-21.868,-20.237,-15.227,-12.153
SH M,marginal,2.65,-10.42467574,71.042,26.242,11.41436958,10.20780373,10.09324169,-21.868,-20.237,-15.227,-12.153
