onset,attestedness,likert_rating,smoothed_bigram,hayes_phonetic_features,hayes_learned_features,max_sc_kld,continuous_pmi ,discrete_binary_phonetic,discrete_binary_learned
B L,attested,3.575,-5.015845343,63.323,12.735,-11.439,5.107943535,5.894834995,5.167712212
B R,attested,3.75,-4.608661623,62.783,12.327,-10.613,4.140832901,4.677989006,4.710061073
B W,marginal,2.475,-10.38904219,72.022,18.229,-13.421,7.894009113,11.24900818,7.910104752
D G,unattested,1.435526316,-11.02325334,85.105,28.993,-19.536,15.37360001,15.24477768,17.34863853
D N,unattested,1.615789474,-10.3971753,72.852,23.666,-18.353,12.18037415,11.27616501,11.99872875
D R,attested,3.75,-5.017813614,63.086,12.734,-13.679,4.948677063,5.005944252,5.144311905
D W,marginal,2.55,-7.4960877,66.192,15.347,-15.527,6.638364792,8.824952126,6.979330063
F L,attested,4.1,-4.710335206,62.78,12.424,-11.439,5.107943535,4.865744114,4.960429192
F N,unattested,1.7,-10.40159514,69.655,22.196,-16.059,11.45423698,8.999032021,10.74533176
F R,attested,4.525,-4.837556189,62.911,12.556,-10.613,4.140832901,5.237594605,4.805639267
F W,marginal,2.4,-10.3908793,69.55,18.702,-13.421,7.894009113,10.48118496,7.888572693
G L,attested,3.725,-5.51001019,63.581,13.222,-11.439,5.801240921,5.992741585,5.900064945
G R,attested,4.5,-4.582838404,62.613,12.297,-10.613,4.27148819,5.243471146,4.593338013
G W,marginal,2.675,-7.915126293,65.983,15.668,-13.421,6.67467308,8.030514717,6.922463417
K L,attested,4,-4.831599413,62.813,12.536,-10.542,5.455226898,4.683107853,4.931725502
K M,unattested,1.575,-10.49341733,71.042,22.655,-15.899,11.72540188,10.36096573,10.9075098
K R,attested,3.775,-4.310375619,62.353,12.018,-9.449,3.211253882,4.093860626,3.686608315
K W,attested,3,-4.896183638,62.964,12.593,-11.266,5.457809448,5.544465065,4.94502449
L M,unattested,1.4,-11.1429128,78.519,26.022,-19.922,14.36101151,10.96343613,10.00974655
L N,unattested,1.45,-11.15851376,74.507,25.744,-19.307,14.36101151,11.70592594,10.30976486
L T,unattested,1.475,-11.51382938,72.878,24.2,-18.544,13.3350668,11.24721813,10.20163918
M L,unattested,1.65,-10.42283245,65.554,20.868,-14.921,9.57973671,10.51167107,8.509874344
M R,unattested,1.85,-10.41799371,65.013,24.682,-13.679,7.73184967,9.766874313,7.863236904
N L,unattested,1.6,-10.53908966,72.791,21.876,-14.899,9.57973671,12.76679039,8.580346108
P K,unattested,1.6,-10.78393711,74.559,19.448,-17.45,12.7886467,13.31721687,10.41561794
P L,attested,4.1,-4.910403024,62.86,12.614,-11.417,4.772637844,4.578350067,4.836395264
P R,attested,3.95,-3.487814971,61.509,11.193,-9.426,3.091307163,3.521526814,3.684819222
P W,unattested,2.225,-10.50112016,67.428,18.651,-13.166,6.68785429,8.756106377,6.662801743
R D,unattested,1.325,-11.28163428,80.516,28.756,-18.974,14.51170158,19.09700394,11.51737499
R G,unattested,1.525,-11.83965981,94.909,30.261,-17.957,16.43033409,19.72680855,14.71769524
R L,unattested,1.625,-11.19564509,75.927,18.938,-15.145,15.9600029,16.14942551,9.766950607
R N,unattested,1.575,-11.21358176,78.34,24.934,-17.86,14.15081787,17.61993027,10.10745239
S M,attested,3.925,-10.42234003,67.082,19.971,-15.071,6.962526321,8.951583862,7.340192318
S N,attested,3.975,-10.42467574,71.042,24.059,-12.153,11.41436958,10.20780373,10.09324169
S W,attested,3.2,-10.4402767,68.014,23.781,-11.324,11.41436958,9.986715317,10.27599049
SH L,marginal,3.125,-6.703929227,65.258,14.377,-14.547,4.946611881,8.291809082,4.856086731
SH M,marginal,2.675,-10.42956086,69.072,22.008,-20.522,8.132141113,10.39392853,8.142074585
SH N,marginal,2.594736842,-5.959872564,63.975,13.686,-19.886,6.240036488,6.483992577,5.984770775
SH R,attested,4.025,-5.693833768,63.864,13.407,-11.996,6.240036488,5.644074917,5.796061516
SH W,marginal,2.95,-5.346645693,63.424,13.077,-15.724,4.862401009,5.707910538,5.937402725
T L,unattested,1.796052632,-8.853086636,68.501,16.173,-13.65,6.638364792,8.943313599,7.709605217
T R,attested,4.525,-10.72393307,66.447,17.302,-10.832,7.251878262,6.879458904,7.470410347
T W,marginal,3.45,-4.169443591,62.173,11.849,-13.569,4.280231476,3.968633652,4.892764092
TH W,attested,2.425,-6.705802212,64.543,14.416,-14.097,6.329324722,6.451200962,6.4591856
V L,marginal,3,-10.40637618,66.197,20.341,-14.921,9.920505524,6.262986183,9.903975487
V R,marginal,2.5,-10.40153744,67.139,24.63,-13.679,8.786838532,6.474814415,9.603515625
V W,unattested,1.625,-10.41359701,77.097,20.681,-15.527,10.09837914,13.05484295,10.60262203
Z R,unattested,2.075,-10.59906842,73.551,26.631,-13.679,8.786838532,7.753809929,10.47994995
