step,train_mb_loss,train_mb_mle,train_mb_smoothed_1.0,train_mb_backoff_0.25,dev_loss,dev_smoothed_1.0,dev_backoff_0.25,dev_unseen_c_loss,dev_unseen_c_smoothed_1.0,dev_unseen_c_backoff_0.25,time,batch_size,lr,num_iter
0,4.281399726867676,1.470527338293934,1.4825753017382834,1.3399042820221383,8.228137969970703,2.6061801668856037,2.4800672832361443,3.7133901119232178,2.687873155431058,2.5588229950016923,0:00:00.100129,32,0.1,1763
100,5.358713626861572,1.5865078017748862,1.5985309922287803,1.4417766080625054,5.489875316619873,2.6061801668856037,2.4800672832361443,3.137056589126587,2.687873155431058,2.5588229950016923,0:00:00.207750,32,0.1,1763
200,1.29254150390625,1.0939196264212339,1.10980591878711,0.9661104746496784,3.9853856563568115,2.6061801668856037,2.4800672832361443,2.9491770267486572,2.687873155431058,2.5588229950016923,0:00:00.208192,32,0.1,1763
300,4.008603096008301,1.1828558770181914,1.1928390685718555,1.0610667350352088,5.252107620239258,2.6061801668856037,2.4800672832361443,3.0213382244110107,2.687873155431058,2.5588229950016923,0:00:00.204786,32,0.1,1763
400,2.8707613945007324,1.80016158896699,1.8129656858190362,1.6732621454651344,3.748598098754883,2.6061801668856037,2.4800672832361443,3.061033248901367,2.687873155431058,2.5588229950016923,0:00:00.197210,32,0.1,1763
500,1.783724069595337,1.555247366939786,1.5647149883744245,1.4287377369716654,5.381345748901367,2.6061801668856037,2.4800672832361443,3.181990146636963,2.687873155431058,2.5588229950016923,0:00:00.196909,32,0.1,1763
600,1.8514991998672485,1.2816448651264836,1.2951123464680383,1.158876562501742,4.3053297996521,2.6061801668856037,2.4800672832361443,3.1398048400878906,2.687873155431058,2.5588229950016923,0:00:00.219644,32,0.1,1763
700,2.302704334259033,1.6662367054692722,1.6802741096556781,1.5417292435658885,3.5662856101989746,2.6061801668856037,2.4800672832361443,3.0541820526123047,2.687873155431058,2.5588229950016923,0:00:00.201252,32,0.1,1763
800,1.5947229862213135,1.352597702837167,1.371878685860228,1.231148567776799,4.943008899688721,2.6061801668856037,2.4800672832361443,2.949526786804199,2.687873155431058,2.5588229950016923,0:00:00.200186,32,0.1,1763
900,2.371760845184326,1.6386727500941782,1.6479462752697034,1.5080057844293426,4.125481605529785,2.6061801668856037,2.4800672832361443,2.993201971054077,2.687873155431058,2.5588229950016923,0:00:00.197452,32,0.1,1763
1000,2.007946729660034,1.771152857324366,1.7802838062560433,1.6503086793887127,3.93791127204895,2.6061801668856037,2.4800672832361443,3.4333646297454834,2.687873155431058,2.5588229950016923,0:00:00.196434,32,0.1,1763
